intent,question,answer,label,clean_question,tokens
Data Wali,Bagaimana menambahkan data wali pasien?,"Klik Tambah Wali, pilih hubungan, isi nama dan nomor kontak, klik update.",Pendaftaran Rawat Jalan,bagaimana menambahkan data wali pasien,"['data', 'wali', 'pasien']"
Data Wali,Bisa menambahkan lebih dari satu wali?,"Ya, klik Tambah Wali untuk setiap wali baru.",Pendaftaran Rawat Jalan,bisa menambahkan lebih dari satu wali,['wali']
Data Wali,Bagaimana menghapus data wali?,"Pilih data wali, klik hapus atau update sesuai kebutuhan.",Pendaftaran Rawat Jalan,bagaimana menghapus data wali,"['menghapus', 'data', 'wali']"
Detail Pendaftaran,Cara masuk pasien apa saja yang tersedia?,"Dropdown: datang sendiri, kontrol ulang, rujukan, kasus polisi, sewa kamar, dll.",Pendaftaran Rawat Jalan,cara masuk pasien apa saja yang tersedia,"['masuk', 'pasien', 'tersedia']"
Detail Pendaftaran,Diagnosa awal harus diisi atau tidak?,Harus diisi sebagai dasar pelayanan medis.,Pendaftaran Rawat Jalan,diagnosa awal harus diisi atau tidak,"['diagnosa', 'diisi']"
Detail Pendaftaran,Bagaimana memilih dokter penanggung jawab?,"Pilih dari jadwal dokter yang tersedia, lengkap dengan unit, jam praktik, kuota pasien, dan filter pencarian.",Pendaftaran Rawat Jalan,bagaimana memilih dokter penanggung jawab,"['memilih', 'dokter', 'penanggung']"
Pembayaran,Pilihan pembayaran apa yang tersedia?,"Umum, karyawan, asuransi, atau perusahaan.",Pendaftaran Rawat Jalan,pilihan pembayaran apa yang tersedia,"['pilihan', 'pembayaran', 'tersedia']"
Pembayaran,Apa yang harus diisi bila pasien pakai asuransi?,"Form data polis: perusahaan, nomor asuransi, tanggal kadaluarsa, kelas, penjamin pembayar, keterangan tambahan.",Pendaftaran Rawat Jalan,apa yang harus diisi bila pasien pakai asuransi,"['diisi', 'pasien', 'pakai', 'asuransi']"
Bukti Registrasi,Apa isi nota registrasi pasien?,"Nomor pendaftaran, nomor rekam medis, data pasien, poli tujuan, dokter penanggung jawab, metode pembayaran, estimasi waktu pelayanan.",Pendaftaran Rawat Jalan,apa isi nota registrasi pasien,"['isi', 'nota', 'registrasi', 'pasien']"
List Pasien,Apa itu List Pasien Kontrol Ulang?,Berisi pasien yang memiliki jadwal pemeriksaan lanjutan.,Pendaftaran Rawat Jalan,apa itu list pasien kontrol ulang,"['list', 'pasien', 'kontrol', 'ulang']"
List Pasien,Apa itu List Pasien Booking?,Berisi pasien yang sudah melakukan reservasi melalui sistem.,Pendaftaran Rawat Jalan,apa itu list pasien booking,"['list', 'pasien', 'booking']"
List Pasien,Apa itu List Verifikasi Pasien?,Digunakan untuk mengecek kebenaran data sebelum pasien mendapatkan pelayanan.,Pendaftaran Rawat Jalan,apa itu list verifikasi pasien,"['list', 'verifikasi', 'pasien']"
Filter Antrian,Bagaimana memfilter pasien berdasarkan status?,"Filter status pasien: daftar, dilayani, batal, dipulangkan, rujukan.",Pendaftaran Rawat Jalan,bagaimana memfilter pasien berdasarkan status,"['memfilter', 'pasien', 'berdasarkan', 'status']"
Filter Antrian,Bisa filter pasien berdasarkan kata kunci?,"Ya, nama, tujuan poli, tanggal, dan lain-lain.",Pendaftaran Rawat Jalan,bisa filter pasien berdasarkan kata kunci,"['filter', 'pasien', 'berdasarkan', 'kunci']"
Filter Antrian,Bagaimana memfilter jam dokter tertentu?,Gunakan filter jam dokter sesuai jadwal praktik dan unit poli.,Pendaftaran Rawat Jalan,bagaimana memfilter jam dokter tertentu,"['memfilter', 'jam', 'dokter']"
Filter Antrian,Bagaimana filter pasien SEP?,Gunakan filter status cetak SEP: sudah atau belum.,Pendaftaran Rawat Jalan,bagaimana filter pasien sep,"['filter', 'pasien', 'sep']"
Warna Status Antrian,Arti warna kuning?,Kuning = pasien belum diverifikasi.,Pendaftaran Rawat Jalan,arti warna kuning,"['arti', 'warna', 'kuning']"
Warna Status Antrian,Arti warna hijau?,Hijau = pasien sudah mendaftar.,Pendaftaran Rawat Jalan,arti warna hijau,"['arti', 'warna', 'hijau']"
Warna Status Antrian,Putih di antrian artinya?,Putih = pasien sedang dilayani.,Pendaftaran Rawat Jalan,putih di antrian artinya,"['putih', 'antrian']"
Warna Status Antrian,Abu-abu di antrian artinya?,Abu-abu = pasien batal.,Pendaftaran Rawat Jalan,abu abu di antrian artinya,"['abu', 'abu', 'antrian']"
Warna Status Antrian,Merah di antrian?,Merah = pasien sudah dipulangkan.,Pendaftaran Rawat Jalan,merah di antrian,"['merah', 'antrian']"
Warna Status Antrian,Biru di antrian?,Biru = pasien rujukan.,Pendaftaran Rawat Jalan,biru di antrian,"['biru', 'antrian']"
Warna Status Antrian,Ungu di antrian?,Ungu = pasien check-in JKN.,Pendaftaran Rawat Jalan,ungu di antrian,"['ungu', 'antrian']"
Detail Tambahan Antrian,Apa itu CPPT?,"Catatan Perkembangan Pasien Terintegrasi, berisi dokumentasi medis dokter, perawat, gizi, dan komunikasi antar tenaga kesehatan.",Pendaftaran Rawat Jalan,apa itu cppt,['cppt']
Detail Tambahan Antrian,Apa itu general consent?,"Persetujuan umum rawat jalan, berisi hak, kewajiban, tata tertib pasien, dan persetujuan pelepasan informasi medis.",Pendaftaran Rawat Jalan,apa itu general consent,"['general', 'consent']"
Detail Tambahan Antrian,Bagaimana sinkronisasi data dengan SATUSEHAT?,Sistem otomatis sinkronisasi agar data pasien masuk ke sistem nasional.,Pendaftaran Rawat Jalan,bagaimana sinkronisasi data dengan satusehat,"['sinkronisasi', 'data', 'satusehat']"
Detail Tambahan Antrian,Bagaimana validasi identitas pasien?,Bisa menggunakan Face Recognition yang terintegrasi di sistem.,Pendaftaran Rawat Jalan,bagaimana validasi identitas pasien,"['validasi', 'identitas', 'pasien']"
Rekam Medis Elektronik,Apa saja data yang tersimpan di rekam medis elektronik?,"Profil pasien, riwayat kunjungan, alergi, pemeriksaan fisik, SOAP, SOAPIER, ADIME, SBAR, penyakit ICD-X, tindakan, terapi, resep, penunjang medis, membership, lampiran, file, form ERM, hasil lab Prodia.",Pendaftaran Rawat Jalan,apa saja data yang tersimpan di rekam medis elektronik,"['data', 'tersimpan', 'rekam', 'medis', 'elektronik']"
Rekam Medis Elektronik,Bisa cetak atau unduh data rekam medis?,"Ya, semua data dapat difilter, diurutkan, dicetak, atau diunduh sesuai kebutuhan.",Pendaftaran Rawat Jalan,bisa cetak atau unduh data rekam medis,"['cetak', 'unduh', 'data', 'rekam', 'medis']"
Paging Data,Berapa maksimal data per halaman?,Maksimal 34 data per halaman.,Pendaftaran Rawat Jalan,berapa maksimal data per halaman,"['maksimal', 'data', 'halaman']"
Paging Data,Bagaimana navigasi jika data lebih dari satu halaman?,Gunakan tombol navigasi halaman dan lihat total data di kanan bawah.,Pendaftaran Rawat Jalan,bagaimana navigasi jika data lebih dari satu halaman,"['navigasi', 'data', 'halaman']"
Layanan Paket,Apa itu layanan paket di pendaftaran rawat jalan?,Layanan paket adalah pilihan tambahan untuk pasien yang ingin menggunakan paket layanan tertentu yang tersedia di rumah sakit.,Pendaftaran Rawat Jalan,apa itu layanan paket di pendaftaran rawat jalan,"['layanan', 'paket', 'pendaftaran', 'rawat', 'jalan']"
Layanan Paket,Bagaimana cara memilih layanan paket?,"Pilih Ya pada opsi layanan paket, kemudian pilih paket yang tersedia di daftar sistem.",Pendaftaran Rawat Jalan,bagaimana cara memilih layanan paket,"['memilih', 'layanan', 'paket']"
Layanan Paket,Apakah layanan paket wajib?,"Tidak, layanan paket bersifat opsional.",Pendaftaran Rawat Jalan,apakah layanan paket wajib,"['layanan', 'paket', 'wajib']"
SITB,Apa itu SITB?,SITB adalah skrining batuk untuk mendeteksi gejala TBC dan mencegah penularan.,Pendaftaran Rawat Jalan,apa itu sitb,['sitb']
SITB,Apakah semua pasien harus mengisi SITB?,"Tidak wajib, tapi dianjurkan untuk pasien dengan indikasi batuk atau risiko TBC.",Pendaftaran Rawat Jalan,apakah semua pasien harus mengisi sitb,"['pasien', 'mengisi', 'sitb']"
SITB,Bagaimana mengisi form SITB?,"Isi pertanyaan terkait gejala batuk, lama batuk, riwayat kontak, dan gejala pendukung sesuai panduan sistem.",Pendaftaran Rawat Jalan,bagaimana mengisi form sitb,"['mengisi', 'form', 'sitb']"
Form Rekam Medis Tambahan,Apa itu Form Rekam Medis Tambahan?,"Form tambahan untuk mencatat informasi medis lebih detail seperti DPJP, ringkasan keluar-masuk, atau permintaan fisioterapi.",Pendaftaran Rawat Jalan,apa itu form rekam medis tambahan,"['form', 'rekam', 'medis', 'tambahan']"
Form Rekam Medis Tambahan,Bagaimana cara mengisi form rekam medis tambahan?,"Pilih pasien, buka form rekam medis tambahan, isi data yang relevan, klik simpan.",Pendaftaran Rawat Jalan,bagaimana cara mengisi form rekam medis tambahan,"['mengisi', 'form', 'rekam', 'medis', 'tambahan']"
Form Rekam Medis Tambahan,Apakah semua pasien wajib mengisi form tambahan?,"Tidak, hanya pasien yang memerlukan pencatatan medis tambahan.",Pendaftaran Rawat Jalan,apakah semua pasien wajib mengisi form tambahan,"['pasien', 'wajib', 'mengisi', 'form', 'tambahan']"
Upload Dokumen,Bagaimana cara upload dokumen pendukung pasien?,"Pilih menu upload dokumen, pilih file yang akan diunggah, klik simpan.",Pendaftaran Rawat Jalan,bagaimana cara upload dokumen pendukung pasien,"['upload', 'dokumen', 'pendukung', 'pasien']"
Upload Dokumen,Apa saja dokumen yang bisa diunggah?,"Dokumen medis, surat rujukan, hasil laboratorium, foto identitas, atau dokumen lain yang relevan.",Pendaftaran Rawat Jalan,apa saja dokumen yang bisa diunggah,"['dokumen', 'diunggah']"
Upload Dokumen,Apakah ada batas ukuran file upload?,"Ya, file harus sesuai batas maksimal yang ditentukan sistem.",Pendaftaran Rawat Jalan,apakah ada batas ukuran file upload,"['batas', 'ukuran', 'file', 'upload']"
CPPT,Apa itu CPPT?,"Catatan Perkembangan Pasien Terintegrasi, mencatat dokumentasi medis dokter, perawat, gizi, dan komunikasi antar tenaga kesehatan.",Pendaftaran Rawat Jalan,apa itu cppt,['cppt']
CPPT,Siapa yang mengisi CPPT?,"Dokter, perawat, dan tenaga kesehatan lain sesuai tugas masing-masing.",Pendaftaran Rawat Jalan,siapa yang mengisi cppt,"['mengisi', 'cppt']"
CPPT,Apakah pasien bisa melihat CPPT?,"CPPT bersifat internal, biasanya dapat diakses oleh tenaga kesehatan terkait.",Pendaftaran Rawat Jalan,apakah pasien bisa melihat cppt,"['pasien', 'cppt']"
General Consent,Apa itu General Consent?,"Persetujuan umum rawat jalan yang berisi hak, kewajiban, tata tertib pasien, dan persetujuan pelepasan informasi medis.",Pendaftaran Rawat Jalan,apa itu general consent,"['general', 'consent']"
General Consent,Bagaimana pasien menyetujui general consent?,Pasien menandatangani atau menyetujui melalui sistem digital sebelum pelayanan.,Pendaftaran Rawat Jalan,bagaimana pasien menyetujui general consent,"['pasien', 'menyetujui', 'general', 'consent']"
General Consent,Apakah General Consent wajib?,"Ya, pasien harus menyetujui agar dapat memperoleh pelayanan rawat jalan.",Pendaftaran Rawat Jalan,apakah general consent wajib,"['general', 'consent', 'wajib']"
Sinkronisasi SATUSEHAT,Apa tujuan sinkronisasi dengan SATUSEHAT?,Agar data pasien masuk ke sistem nasional dan dapat diakses oleh fasilitas kesehatan lain.,Pendaftaran Rawat Jalan,apa tujuan sinkronisasi dengan satusehat,"['tujuan', 'sinkronisasi', 'satusehat']"
Sinkronisasi SATUSEHAT,Bagaimana cara sinkronisasi data pasien?,Sistem otomatis melakukan sinkronisasi setelah pendaftaran atau update data pasien.,Pendaftaran Rawat Jalan,bagaimana cara sinkronisasi data pasien,"['sinkronisasi', 'data', 'pasien']"
Face Recognition,Apa fungsi Face Recognition di pendaftaran rawat jalan?,"Untuk validasi identitas pasien melalui biometrik, memastikan pasien terdaftar sesuai data.",Pendaftaran Rawat Jalan,apa fungsi face recognition di pendaftaran rawat jalan,"['fungsi', 'face', 'recognition', 'pendaftaran', 'rawat', 'jalan']"
Face Recognition,Apakah Face Recognition wajib?,"Tidak wajib, tapi dianjurkan untuk keamanan dan validasi identitas pasien.",Pendaftaran Rawat Jalan,apakah face recognition wajib,"['face', 'recognition', 'wajib']"
Face Recognition,Bagaimana cara menggunakan Face Recognition?,"Arahkan kamera ke wajah pasien sesuai panduan sistem, tunggu verifikasi.",Pendaftaran Rawat Jalan,bagaimana cara menggunakan face recognition,"['face', 'recognition']"
Rekam Medis Elektronik,Bagaimana melihat riwayat kunjungan pasien?,"Buka tab Rekam Medis Elektronik, pilih pasien, kemudian buka riwayat kunjungan.",Pendaftaran Rawat Jalan,bagaimana melihat riwayat kunjungan pasien,"['riwayat', 'kunjungan', 'pasien']"
Rekam Medis Elektronik,Apa itu ADIME?,"ADIME adalah catatan gizi pasien: Assessment, Diagnosis, Intervention, Monitoring, Evaluation.",Pendaftaran Rawat Jalan,apa itu adime,['adime']
Rekam Medis Elektronik,Apa itu SBAR?,"SBAR adalah komunikasi standar antar tenaga kesehatan: Situation, Background, Assessment, Recommendation.",Pendaftaran Rawat Jalan,apa itu sbar,['sbar']
Rekam Medis Elektronik,Apakah resep pasien dicatat di rekam medis elektronik?,"Ya, semua resep dokter tercatat di sistem.",Pendaftaran Rawat Jalan,apakah resep pasien dicatat di rekam medis elektronik,"['resep', 'pasien', 'dicatat', 'rekam', 'medis', 'elektronik']"
Rekam Medis Elektronik,Bagaimana mengunduh data rekam medis pasien?,"Gunakan opsi unduh di tab Rekam Medis Elektronik, pilih data yang diperlukan.",Pendaftaran Rawat Jalan,bagaimana mengunduh data rekam medis pasien,"['mengunduh', 'data', 'rekam', 'medis', 'pasien']"
Paging Data,Berapa tombol navigasi halaman tersedia?,Tombol navigasi halaman tersedia untuk berpindah antarhalaman jika data lebih dari 34 per halaman.,Pendaftaran Rawat Jalan,berapa tombol navigasi halaman tersedia,"['tombol', 'navigasi', 'halaman', 'tersedia']"
Paging Data,Bagaimana melihat total data pasien?,Total data ditampilkan di kanan bawah halaman daftar pasien.,Pendaftaran Rawat Jalan,bagaimana melihat total data pasien,"['total', 'data', 'pasien']"
Paging Data,Bisa filter data pasien per halaman?,"Ya, filter berlaku di semua halaman daftar pasien.",Pendaftaran Rawat Jalan,bisa filter data pasien per halaman,"['filter', 'data', 'pasien', 'halaman']"
Paging Data,Apakah data refresh otomatis?,Refresh bisa dilakukan manual untuk memperbarui status antrian pasien secara real-time.,Pendaftaran Rawat Jalan,apakah data refresh otomatis,"['data', 'refresh', 'otomatis']"
Detail Dokumen,Apa saja dokumen yang bisa dicetak dari antrian pasien?,"Nota registrasi, ID Card, Stiker, Label pasien, Status Rawat Jalan, CPPT, General Consent, Form Rekam Medis Tambahan.",Pendaftaran Rawat Jalan,apa saja dokumen yang bisa dicetak dari antrian pasien,"['dokumen', 'dicetak', 'antrian', 'pasien']"
Detail Dokumen,Bagaimana mencetak ID Card pasien?,"Pilih pasien, klik cetak ID Card, pilih opsi biaya kartu jika perlu.",Pendaftaran Rawat Jalan,bagaimana mencetak id card pasien,"['mencetak', 'id', 'card', 'pasien']"
Detail Dokumen,Bisa cetak stiker pasien?,"Ya, pilih pasien, klik cetak stiker, ikuti panduan sistem.",Pendaftaran Rawat Jalan,bisa cetak stiker pasien,"['cetak', 'stiker', 'pasien']"
Detail Dokumen,Apa itu Status Rawat Jalan cetak?,Ringkasan profil pasien beserta status pendaftaran dan penjamin.,Pendaftaran Rawat Jalan,apa itu status rawat jalan cetak,"['status', 'rawat', 'jalan', 'cetak']"
Detail Dokumen,Apakah CPPT bisa dicetak?,"Ya, CPPT dapat dicetak sesuai dokumentasi medis dokter, perawat, gizi, dan komunikasi.",Pendaftaran Rawat Jalan,apakah cppt bisa dicetak,"['cppt', 'dicetak']"
Catatan Khusus,Bagaimana menambahkan catatan khusus pasien?,Masukkan informasi tambahan atau kondisi khusus pasien di kolom catatan khusus.,Pendaftaran Rawat Jalan,bagaimana menambahkan catatan khusus pasien,"['catatan', 'khusus', 'pasien']"
Catatan Khusus,Apakah catatan khusus wajib diisi?,"Tidak wajib, bersifat tambahan untuk informasi pasien.",Pendaftaran Rawat Jalan,apakah catatan khusus wajib diisi,"['catatan', 'khusus', 'wajib', 'diisi']"
Catatan Khusus,Untuk siapa catatan khusus ini berguna?,"Berguna untuk pasien anak-anak, lansia, atau pasien dengan kebutuhan khusus.",Pendaftaran Rawat Jalan,untuk siapa catatan khusus ini berguna,"['catatan', 'khusus', 'berguna']"
Form Pasien Baru,Apa saja data wajib untuk pasien baru?,"Data wajib meliputi nama, NIK/KTP, tanggal lahir/umur, jenis kelamin, golongan darah, dan nomor HP.",Pendaftaran Rawat Jalan,apa saja data wajib untuk pasien baru,"['data', 'wajib', 'pasien']"
Form Pasien Baru,Bagaimana cara mengisi formulir pasien baru?,"Isi data wajib terlebih dahulu, kemudian bisa menambahkan data opsional seperti email, pekerjaan, dan alamat.",Pendaftaran Rawat Jalan,bagaimana cara mengisi formulir pasien baru,"['mengisi', 'formulir', 'pasien']"
Form Pasien Baru,Apakah foto pasien wajib diunggah?,"Tidak wajib, foto pasien hanya opsional dengan batas ukuran tertentu.",Pendaftaran Rawat Jalan,apakah foto pasien wajib diunggah,"['foto', 'pasien', 'wajib', 'diunggah']"
Form Pasien Baru,Apa itu layanan PRB?,PRB (Program Rujuk Balik) untuk pasien kronis stabil yang mengambil obat rutin di FKTP.,Pendaftaran Rawat Jalan,apa itu layanan prb,"['layanan', 'prb']"
Form Pasien Baru,Apa bedanya Prolanis dengan PRB?,"Prolanis fokus pada pemantauan pasien kronis melalui kegiatan terjadwal, sedangkan PRB untuk pengambilan obat rutin di FKTP.",Pendaftaran Rawat Jalan,apa bedanya prolanis dengan prb,"['bedanya', 'prolanis', 'prb']"
Form Pasien Baru,Bagaimana memilih jenis layanan Non-Kronis?,Pilih opsi Non-Kronis saat mengisi formulir pasien baru untuk penyakit umum seperti flu atau diare.,Pendaftaran Rawat Jalan,bagaimana memilih jenis layanan non kronis,"['memilih', 'jenis', 'layanan', 'non', 'kronis']"
Form Pasien Baru,Bisakah alamat pasien sama dengan wali?,"Ya, sistem menyediakan opsi sama dengan wali agar alamat otomatis terisi.",Pendaftaran Rawat Jalan,bisakah alamat pasien sama dengan wali,"['alamat', 'pasien', 'wali']"
Data Wali,Bagaimana menambahkan data wali pasien?,"Klik menu tambah wali, isi nama, nomor kontak, dan hubungan, kemudian simpan.",Pendaftaran Rawat Jalan,bagaimana menambahkan data wali pasien,"['data', 'wali', 'pasien']"
Data Wali,Apakah bisa menambahkan lebih dari satu wali?,"Ya, sistem mendukung lebih dari satu wali dengan status aktif/non-aktif.",Pendaftaran Rawat Jalan,apakah bisa menambahkan lebih dari satu wali,['wali']
Data Wali,Bagaimana menghapus atau mengubah data wali?,"Pilih data wali yang ingin diubah/hapus, klik edit atau hapus, kemudian simpan perubahan.",Pendaftaran Rawat Jalan,bagaimana menghapus atau mengubah data wali,"['menghapus', 'mengubah', 'data', 'wali']"
Detail Pendaftaran,Apa saja detail pendaftaran rawat jalan yang perlu diisi?,"Cara masuk, diagnosa awal, detail pembayaran, pilihan dokter, dan jadwal pelayanan.",Pendaftaran Rawat Jalan,apa saja detail pendaftaran rawat jalan yang perlu diisi,"['detail', 'pendaftaran', 'rawat', 'jalan', 'diisi']"
Detail Pendaftaran,Bagaimana memasukkan cara masuk pasien?,"Pilih dari dropdown: datang sendiri, kontrol ulang, rujukan, kasus polisi, dll.",Pendaftaran Rawat Jalan,bagaimana memasukkan cara masuk pasien,"['memasukkan', 'masuk', 'pasien']"
Detail Pendaftaran,Apa yang harus diisi jika pasien rujukan?,"Isi asal rujukan, nomor rujukan, dan tanggal rujukan.",Pendaftaran Rawat Jalan,apa yang harus diisi jika pasien rujukan,"['diisi', 'pasien', 'rujukan']"
Detail Pendaftaran,Bagaimana memasukkan diagnosa awal pasien?,"Masukkan diagnosa awal di kolom yang disediakan, ini wajib diisi sebagai dasar pelayanan medis.",Pendaftaran Rawat Jalan,bagaimana memasukkan diagnosa awal pasien,"['memasukkan', 'diagnosa', 'pasien']"
Detail Pendaftaran,Bagaimana memilih dokter penanggung jawab?,"Pilih dokter dari daftar yang menampilkan unit, jam praktik, dan kuota pasien.",Pendaftaran Rawat Jalan,bagaimana memilih dokter penanggung jawab,"['memilih', 'dokter', 'penanggung']"
Detail Pendaftaran,Bisa filter dokter berdasarkan jam praktik?,"Ya, sistem menyediakan filter untuk mempermudah pencarian dokter sesuai jadwal.",Pendaftaran Rawat Jalan,bisa filter dokter berdasarkan jam praktik,"['filter', 'dokter', 'berdasarkan', 'jam', 'praktik']"
Pembayaran,Apa saja metode pembayaran yang tersedia?,"Umum, karyawan, asuransi, atau perusahaan.",Pendaftaran Rawat Jalan,apa saja metode pembayaran yang tersedia,"['metode', 'pembayaran', 'tersedia']"
Pembayaran,Apa yang harus diisi jika pasien pakai asuransi?,"Isi data polis: perusahaan, nomor polis, tanggal kadaluarsa, kelas pelayanan, dan penjamin pembayar.",Pendaftaran Rawat Jalan,apa yang harus diisi jika pasien pakai asuransi,"['diisi', 'pasien', 'pakai', 'asuransi']"
Pembayaran,Bagaimana sistem menghitung biaya administrasi?,Sistem otomatis menghitung total biaya pendaftaran setelah dokter dan jenis layanan dipilih.,Pendaftaran Rawat Jalan,bagaimana sistem menghitung biaya administrasi,"['sistem', 'menghitung', 'biaya', 'administrasi']"
Hasil Registrasi,Apa yang dihasilkan setelah pendaftaran tersimpan?,"Tanda Bukti Registrasi Rawat Jalan berisi nomor pendaftaran, nomor rekam medis, dokter, unit, dan metode pembayaran.",Pendaftaran Rawat Jalan,apa yang dihasilkan setelah pendaftaran tersimpan,"['dihasilkan', 'pendaftaran', 'tersimpan']"
Hasil Registrasi,Bisa mencetak tanda bukti registrasi?,"Ya, tanda bukti dapat dicetak dan diberikan kepada pasien.",Pendaftaran Rawat Jalan,bisa mencetak tanda bukti registrasi,"['mencetak', 'tanda', 'bukti', 'registrasi']"
List Pasien,Apa itu List Pasien Kontrol Ulang?,Daftar pasien yang memiliki jadwal pemeriksaan lanjutan.,Pendaftaran Rawat Jalan,apa itu list pasien kontrol ulang,"['list', 'pasien', 'kontrol', 'ulang']"
List Pasien,Apa itu List Pasien Booking?,Daftar pasien yang sudah melakukan reservasi melalui sistem.,Pendaftaran Rawat Jalan,apa itu list pasien booking,"['list', 'pasien', 'booking']"
List Pasien,Apa itu List Verifikasi Pasien?,Digunakan untuk mengecek kebenaran data sebelum pasien mendapat pelayanan.,Pendaftaran Rawat Jalan,apa itu list verifikasi pasien,"['list', 'verifikasi', 'pasien']"
Filtering,Bagaimana memfilter status pasien?,"Pilih filter status: daftar, dilayani, batal, dipulangkan, atau rujukan.",Pendaftaran Rawat Jalan,bagaimana memfilter status pasien,"['memfilter', 'status', 'pasien']"
Filtering,Bisa mencari pasien berdasarkan kata kunci?,"Ya, sistem mendukung pencarian nama, tujuan poli, tanggal, atau informasi lainnya.",Pendaftaran Rawat Jalan,bisa mencari pasien berdasarkan kata kunci,"['mencari', 'pasien', 'berdasarkan', 'kunci']"
Filtering,Bisa filter jam dokter?,"Ya, filter jam dokter berdasarkan jadwal praktik dan unit poli.",Pendaftaran Rawat Jalan,bisa filter jam dokter,"['filter', 'jam', 'dokter']"
Filtering,Bagaimana memfilter status cetak SEP?,Pilih filter SEP: sudah dicetak atau belum dicetak.,Pendaftaran Rawat Jalan,bagaimana memfilter status cetak sep,"['memfilter', 'status', 'cetak', 'sep']"
Warna Status Antrian,Apa arti kode warna kuning di antrian?,Pasien belum diverifikasi.,Pendaftaran Rawat Jalan,apa arti kode warna kuning di antrian,"['arti', 'kode', 'warna', 'kuning', 'antrian']"
Warna Status Antrian,Apa arti warna hijau?,Pasien sudah mendaftar.,Pendaftaran Rawat Jalan,apa arti warna hijau,"['arti', 'warna', 'hijau']"
Warna Status Antrian,Apa arti warna putih?,Pasien sedang dilayani.,Pendaftaran Rawat Jalan,apa arti warna putih,"['arti', 'warna', 'putih']"
Warna Status Antrian,Apa arti warna abu-abu?,Pasien batal.,Pendaftaran Rawat Jalan,apa arti warna abu abu,"['arti', 'warna', 'abu', 'abu']"
Warna Status Antrian,Apa arti warna merah?,Pasien sudah dipulangkan.,Pendaftaran Rawat Jalan,apa arti warna merah,"['arti', 'warna', 'merah']"
Warna Status Antrian,Apa arti warna biru?,Pasien rujukan.,Pendaftaran Rawat Jalan,apa arti warna biru,"['arti', 'warna', 'biru']"
Warna Status Antrian,Apa arti warna ungu?,Check-in JKN.,Pendaftaran Rawat Jalan,apa arti warna ungu,"['arti', 'warna', 'ungu']"
Detail Tambahan,Apa yang bisa dicetak saat klik pasien di antrian?,"Nota registrasi, ID Card, Stiker, Label, Status Rawat Jalan, CPPT, General Consent.",Pendaftaran Rawat Jalan,apa yang bisa dicetak saat klik pasien di antrian,"['dicetak', 'klik', 'pasien', 'antrian']"
Detail Tambahan,Bagaimana sinkronisasi dengan SATUSEHAT?,Sistem otomatis sinkronisasi data pasien ke sistem nasional.,Pendaftaran Rawat Jalan,bagaimana sinkronisasi dengan satusehat,"['sinkronisasi', 'satusehat']"
