intent,question,answer,label
Detail Pendaftaran,Bagaimana memilih dokter penanggung jawab?,"Pilih dari jadwal dokter yang tersedia, lengkap dengan unit, jam praktik, kuota pasien, dan filter pencarian.",Pendaftaran Rawat Jalan
Pembayaran,Pilihan pembayaran apa yang tersedia?,"Umum, karyawan, asuransi, atau perusahaan.",Pendaftaran Rawat Jalan
Pembayaran,Apa yang harus diisi bila pasien pakai asuransi?,"Form data polis: perusahaan, nomor asuransi, tanggal kadaluarsa, kelas, penjamin pembayar, keterangan tambahan.",Pendaftaran Rawat Jalan
Bukti Registrasi,Apa isi nota registrasi pasien?,"Nomor pendaftaran, nomor rekam medis, data pasien, poli tujuan, dokter penanggung jawab, metode pembayaran, estimasi waktu pelayanan.",Pendaftaran Rawat Jalan
List Pasien,Apa itu List Pasien Kontrol Ulang?,Berisi pasien yang memiliki jadwal pemeriksaan lanjutan.,Pendaftaran Rawat Jalan
List Pasien,Apa itu List Pasien Booking?,Berisi pasien yang sudah melakukan reservasi melalui sistem.,Pendaftaran Rawat Jalan
List Pasien,Apa itu List Verifikasi Pasien?,Digunakan untuk mengecek kebenaran data sebelum pasien mendapatkan pelayanan.,Pendaftaran Rawat Jalan
Filter Antrian,Bagaimana memfilter pasien berdasarkan status?,"Filter status pasien: daftar, dilayani, batal, dipulangkan, rujukan.",Pendaftaran Rawat Jalan
Filter Antrian,Bisa filter pasien berdasarkan kata kunci?,"Ya, nama, tujuan poli, tanggal, dan lain-lain.",Pendaftaran Rawat Jalan
Filter Antrian,Bagaimana memfilter jam dokter tertentu?,Gunakan filter jam dokter sesuai jadwal praktik dan unit poli.,Pendaftaran Rawat Jalan
Filter Antrian,Bagaimana filter pasien SEP?,Gunakan filter status cetak SEP: sudah atau belum.,Pendaftaran Rawat Jalan
Warna Status Antrian,Arti warna kuning?,Kuning = pasien belum diverifikasi.,Pendaftaran Rawat Jalan
Warna Status Antrian,Arti warna hijau?,Hijau = pasien sudah mendaftar.,Pendaftaran Rawat Jalan
Warna Status Antrian,Putih di antrian artinya?,Putih = pasien sedang dilayani.,Pendaftaran Rawat Jalan
Warna Status Antrian,Abu-abu di antrian artinya?,Abu-abu = pasien batal.,Pendaftaran Rawat Jalan
Warna Status Antrian,Merah di antrian?,Merah = pasien sudah dipulangkan.,Pendaftaran Rawat Jalan
Warna Status Antrian,Biru di antrian?,Biru = pasien rujukan.,Pendaftaran Rawat Jalan
Warna Status Antrian,Ungu di antrian?,Ungu = pasien check-in JKN.,Pendaftaran Rawat Jalan
Detail Tambahan Antrian,Apa itu CPPT?,"Catatan Perkembangan Pasien Terintegrasi, berisi dokumentasi medis dokter, perawat, gizi, dan komunikasi antar tenaga kesehatan.",Pendaftaran Rawat Jalan
Detail Tambahan Antrian,Apa itu general consent?,"Persetujuan umum rawat jalan, berisi hak, kewajiban, tata tertib pasien, dan persetujuan pelepasan informasi medis.",Pendaftaran Rawat Jalan
Detail Tambahan Antrian,Bagaimana sinkronisasi data dengan SATUSEHAT?,Sistem otomatis sinkronisasi agar data pasien masuk ke sistem nasional.,Pendaftaran Rawat Jalan
Detail Tambahan Antrian,Bagaimana validasi identitas pasien?,Bisa menggunakan Face Recognition yang terintegrasi di sistem.,Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Apa saja data yang tersimpan di rekam medis elektronik?,"Profil pasien, riwayat kunjungan, alergi, pemeriksaan fisik, SOAP, SOAPIER, ADIME, SBAR, penyakit ICD-X, tindakan, terapi, resep, penunjang medis, membership, lampiran, file, form ERM, hasil lab Prodia.",Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Bisa cetak atau unduh data rekam medis?,"Ya, semua data dapat difilter, diurutkan, dicetak, atau diunduh sesuai kebutuhan.",Pendaftaran Rawat Jalan
Paging Data,Berapa maksimal data per halaman?,Maksimal 34 data per halaman.,Pendaftaran Rawat Jalan
Paging Data,Bagaimana navigasi jika data lebih dari satu halaman?,Gunakan tombol navigasi halaman dan lihat total data di kanan bawah.,Pendaftaran Rawat Jalan
Layanan Paket,Apa itu layanan paket di pendaftaran rawat jalan?,Layanan paket adalah pilihan tambahan untuk pasien yang ingin menggunakan paket layanan tertentu yang tersedia di rumah sakit.,Pendaftaran Rawat Jalan
Layanan Paket,Bagaimana cara memilih layanan paket?,"Pilih “Ya” pada opsi layanan paket, kemudian pilih paket yang tersedia di daftar sistem.",Pendaftaran Rawat Jalan
Layanan Paket,Apakah layanan paket wajib?,"Tidak, layanan paket bersifat opsional.",Pendaftaran Rawat Jalan
SITB,Apa itu SITB?,SITB adalah skrining batuk untuk mendeteksi gejala TBC dan mencegah penularan.,Pendaftaran Rawat Jalan
SITB,Apakah semua pasien harus mengisi SITB?,"Tidak wajib, tapi dianjurkan untuk pasien dengan indikasi batuk atau risiko TBC.",Pendaftaran Rawat Jalan
SITB,Bagaimana mengisi form SITB?,"Isi pertanyaan terkait gejala batuk, lama batuk, riwayat kontak, dan gejala pendukung sesuai panduan sistem.",Pendaftaran Rawat Jalan
Form Rekam Medis Tambahan,Apa itu Form Rekam Medis Tambahan?,"Form tambahan untuk mencatat informasi medis lebih detail seperti DPJP, ringkasan keluar-masuk, atau permintaan fisioterapi.",Pendaftaran Rawat Jalan
Form Rekam Medis Tambahan,Bagaimana cara mengisi form rekam medis tambahan?,"Pilih pasien, buka form rekam medis tambahan, isi data yang relevan, klik simpan.",Pendaftaran Rawat Jalan
Form Rekam Medis Tambahan,Apakah semua pasien wajib mengisi form tambahan?,"Tidak, hanya pasien yang memerlukan pencatatan medis tambahan.",Pendaftaran Rawat Jalan
Upload Dokumen,Bagaimana cara upload dokumen pendukung pasien?,"Pilih menu upload dokumen, pilih file yang akan diunggah, klik simpan.",Pendaftaran Rawat Jalan
Upload Dokumen,Apa saja dokumen yang bisa diunggah?,"Dokumen medis, surat rujukan, hasil laboratorium, foto identitas, atau dokumen lain yang relevan.",Pendaftaran Rawat Jalan
Upload Dokumen,Apakah ada batas ukuran file upload?,"Ya, file harus sesuai batas maksimal yang ditentukan sistem.",Pendaftaran Rawat Jalan
CPPT,Apa itu CPPT?,"Catatan Perkembangan Pasien Terintegrasi, mencatat dokumentasi medis dokter, perawat, gizi, dan komunikasi antar tenaga kesehatan.",Pendaftaran Rawat Jalan
CPPT,Siapa yang mengisi CPPT?,"Dokter, perawat, dan tenaga kesehatan lain sesuai tugas masing-masing.",Pendaftaran Rawat Jalan
CPPT,Apakah pasien bisa melihat CPPT?,"CPPT bersifat internal, biasanya dapat diakses oleh tenaga kesehatan terkait.",Pendaftaran Rawat Jalan
General Consent,Apa itu General Consent?,"Persetujuan umum rawat jalan yang berisi hak, kewajiban, tata tertib pasien, dan persetujuan pelepasan informasi medis.",Pendaftaran Rawat Jalan
General Consent,Bagaimana pasien menyetujui general consent?,Pasien menandatangani atau menyetujui melalui sistem digital sebelum pelayanan.,Pendaftaran Rawat Jalan
General Consent,Apakah General Consent wajib?,"Ya, pasien harus menyetujui agar dapat memperoleh pelayanan rawat jalan.",Pendaftaran Rawat Jalan
Sinkronisasi SATUSEHAT,Apa tujuan sinkronisasi dengan SATUSEHAT?,Agar data pasien masuk ke sistem nasional dan dapat diakses oleh fasilitas kesehatan lain.,Pendaftaran Rawat Jalan
Sinkronisasi SATUSEHAT,Bagaimana cara sinkronisasi data pasien?,Sistem otomatis melakukan sinkronisasi setelah pendaftaran atau update data pasien.,Pendaftaran Rawat Jalan
Face Recognition,Apa fungsi Face Recognition di pendaftaran rawat jalan?,"Untuk validasi identitas pasien melalui biometrik, memastikan pasien terdaftar sesuai data.",Pendaftaran Rawat Jalan
Face Recognition,Apakah Face Recognition wajib?,"Tidak wajib, tapi dianjurkan untuk keamanan dan validasi identitas pasien.",Pendaftaran Rawat Jalan
Face Recognition,Bagaimana cara menggunakan Face Recognition?,"Arahkan kamera ke wajah pasien sesuai panduan sistem, tunggu verifikasi.",Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Bagaimana melihat riwayat kunjungan pasien?,"Buka tab Rekam Medis Elektronik, pilih pasien, kemudian buka riwayat kunjungan.",Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Apa itu ADIME?,"ADIME adalah catatan gizi pasien: Assessment, Diagnosis, Intervention, Monitoring, Evaluation.",Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Apa itu SBAR?,"SBAR adalah komunikasi standar antar tenaga kesehatan: Situation, Background, Assessment, Recommendation.",Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Apakah resep pasien dicatat di rekam medis elektronik?,"Ya, semua resep dokter tercatat di sistem.",Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Bagaimana mengunduh data rekam medis pasien?,"Gunakan opsi unduh di tab Rekam Medis Elektronik, pilih data yang diperlukan.",Pendaftaran Rawat Jalan
Paging Data,Berapa tombol navigasi halaman tersedia?,Tombol navigasi halaman tersedia untuk berpindah antarhalaman jika data lebih dari 34 per halaman.,Pendaftaran Rawat Jalan
Paging Data,Bagaimana melihat total data pasien?,Total data ditampilkan di kanan bawah halaman daftar pasien.,Pendaftaran Rawat Jalan
Paging Data,Bisa filter data pasien per halaman?,"Ya, filter berlaku di semua halaman daftar pasien.",Pendaftaran Rawat Jalan
Paging Data,Apakah data refresh otomatis?,Refresh bisa dilakukan manual untuk memperbarui status antrian pasien secara real-time.,Pendaftaran Rawat Jalan
Detail Dokumen,Apa saja dokumen yang bisa dicetak dari antrian pasien?,"Nota registrasi, ID Card, Stiker, Label pasien, Status Rawat Jalan, CPPT, General Consent, Form Rekam Medis Tambahan.",Pendaftaran Rawat Jalan
Detail Dokumen,Bagaimana mencetak ID Card pasien?,"Pilih pasien, klik cetak ID Card, pilih opsi biaya kartu jika perlu.",Pendaftaran Rawat Jalan
Detail Dokumen,Bisa cetak stiker pasien?,"Ya, pilih pasien, klik cetak stiker, ikuti panduan sistem.",Pendaftaran Rawat Jalan
Detail Dokumen,Apa itu Status Rawat Jalan cetak?,Ringkasan profil pasien beserta status pendaftaran dan penjamin.,Pendaftaran Rawat Jalan
Detail Dokumen,Apakah CPPT bisa dicetak?,"Ya, CPPT dapat dicetak sesuai dokumentasi medis dokter, perawat, gizi, dan komunikasi.",Pendaftaran Rawat Jalan
Catatan Khusus,Bagaimana menambahkan catatan khusus pasien?,Masukkan informasi tambahan atau kondisi khusus pasien di kolom catatan khusus.,Pendaftaran Rawat Jalan
Catatan Khusus,Apakah catatan khusus wajib diisi?,"Tidak wajib, bersifat tambahan untuk informasi pasien.",Pendaftaran Rawat Jalan
Catatan Khusus,Untuk siapa catatan khusus ini berguna?,"Berguna untuk pasien anak-anak, lansia, atau pasien dengan kebutuhan khusus.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apa saja data wajib untuk pasien baru?,"Data wajib meliputi nama, NIK/KTP, tanggal lahir/umur, jenis kelamin, golongan darah, dan nomor HP.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana cara mengisi formulir pasien baru?,"Isi data wajib terlebih dahulu, kemudian bisa menambahkan data opsional seperti email, pekerjaan, dan alamat.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apakah foto pasien wajib diunggah?,"Tidak wajib, foto pasien hanya opsional dengan batas ukuran tertentu.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apa itu layanan PRB?,PRB (Program Rujuk Balik) untuk pasien kronis stabil yang mengambil obat rutin di FKTP.,Pendaftaran Rawat Jalan
Form Pasien Baru,Apa bedanya Prolanis dengan PRB?,"Prolanis fokus pada pemantauan pasien kronis melalui kegiatan terjadwal, sedangkan PRB untuk pengambilan obat rutin di FKTP.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana memilih jenis layanan Non-Kronis?,Pilih opsi Non-Kronis saat mengisi formulir pasien baru untuk penyakit umum seperti flu atau diare.,Pendaftaran Rawat Jalan
Form Pasien Baru,Bisakah alamat pasien sama dengan wali?,"Ya, sistem menyediakan opsi “sama dengan wali” agar alamat otomatis terisi.",Pendaftaran Rawat Jalan
Data Wali,Bagaimana menambahkan data wali pasien?,"Klik menu tambah wali, isi nama, nomor kontak, dan hubungan, kemudian simpan.",Pendaftaran Rawat Jalan
Data Wali,Apakah bisa menambahkan lebih dari satu wali?,"Ya, sistem mendukung lebih dari satu wali dengan status aktif/non-aktif.",Pendaftaran Rawat Jalan
Data Wali,Bagaimana menghapus atau mengubah data wali?,"Pilih data wali yang ingin diubah/hapus, klik edit atau hapus, kemudian simpan perubahan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Apa saja detail pendaftaran rawat jalan yang perlu diisi?,"Cara masuk, diagnosa awal, detail pembayaran, pilihan dokter, dan jadwal pelayanan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bagaimana memasukkan cara masuk pasien?,"Pilih dari dropdown: datang sendiri, kontrol ulang, rujukan, kasus polisi, dll.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Apa yang harus diisi jika pasien rujukan?,"Isi asal rujukan, nomor rujukan, dan tanggal rujukan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bagaimana memasukkan diagnosa awal pasien?,"Masukkan diagnosa awal di kolom yang disediakan, ini wajib diisi sebagai dasar pelayanan medis.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bagaimana memilih dokter penanggung jawab?,"Pilih dokter dari daftar yang menampilkan unit, jam praktik, dan kuota pasien.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bisa filter dokter berdasarkan jam praktik?,"Ya, sistem menyediakan filter untuk mempermudah pencarian dokter sesuai jadwal.",Pendaftaran Rawat Jalan
Pembayaran,Apa saja metode pembayaran yang tersedia?,"Umum, karyawan, asuransi, atau perusahaan.",Pendaftaran Rawat Jalan
Pembayaran,Apa yang harus diisi jika pasien pakai asuransi?,"Isi data polis: perusahaan, nomor polis, tanggal kadaluarsa, kelas pelayanan, dan penjamin pembayar.",Pendaftaran Rawat Jalan
Pembayaran,Bagaimana sistem menghitung biaya administrasi?,Sistem otomatis menghitung total biaya pendaftaran setelah dokter dan jenis layanan dipilih.,Pendaftaran Rawat Jalan
Hasil Registrasi,Apa yang dihasilkan setelah pendaftaran tersimpan?,"Tanda Bukti Registrasi Rawat Jalan berisi nomor pendaftaran, nomor rekam medis, dokter, unit, dan metode pembayaran.",Pendaftaran Rawat Jalan
Hasil Registrasi,Bisa mencetak tanda bukti registrasi?,"Ya, tanda bukti dapat dicetak dan diberikan kepada pasien.",Pendaftaran Rawat Jalan
List Pasien,Apa itu List Pasien Kontrol Ulang?,Daftar pasien yang memiliki jadwal pemeriksaan lanjutan.,Pendaftaran Rawat Jalan
List Pasien,Apa itu List Pasien Booking?,Daftar pasien yang sudah melakukan reservasi melalui sistem.,Pendaftaran Rawat Jalan
List Pasien,Apa itu List Verifikasi Pasien?,Digunakan untuk mengecek kebenaran data sebelum pasien mendapat pelayanan.,Pendaftaran Rawat Jalan
Filtering,Bagaimana memfilter status pasien?,"Pilih filter status: daftar, dilayani, batal, dipulangkan, atau rujukan.",Pendaftaran Rawat Jalan
Filtering,Bisa mencari pasien berdasarkan kata kunci?,"Ya, sistem mendukung pencarian nama, tujuan poli, tanggal, atau informasi lainnya.",Pendaftaran Rawat Jalan
Filtering,Bisa filter jam dokter?,"Ya, filter jam dokter berdasarkan jadwal praktik dan unit poli.",Pendaftaran Rawat Jalan
Filtering,Bagaimana memfilter status cetak SEP?,Pilih filter SEP: sudah dicetak atau belum dicetak.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti kode warna kuning di antrian?,Pasien belum diverifikasi.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna hijau?,Pasien sudah mendaftar.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna putih?,Pasien sedang dilayani.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna abu-abu?,Pasien batal.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna merah?,Pasien sudah dipulangkan.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna biru?,Pasien rujukan.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna ungu?,Check-in JKN.,Pendaftaran Rawat Jalan
Detail Tambahan,Apa yang bisa dicetak saat klik pasien di antrian?,"Nota registrasi, ID Card, Stiker, Label, Status Rawat Jalan, CPPT, General Consent.",Pendaftaran Rawat Jalan
Detail Tambahan,Bagaimana sinkronisasi dengan SATUSEHAT?,Sistem otomatis sinkronisasi data pasien ke sistem nasional.,Pendaftaran Rawat Jalan
Detail Tambahan,Bagaimana mengaktifkan Face Recognition?,Ikuti panduan sistem untuk verifikasi wajah pasien.,Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana cara mendaftarkan pasien baru di sistem?,"Isi data wajib pasien terlebih dahulu, kemudian data opsional jika ada, lalu pilih jenis layanan dan simpan.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apakah semua data pasien wajib diisi?,Hanya data wajib yang harus diisi; data opsional bisa dilewati.,Pendaftaran Rawat Jalan
Form Pasien Baru,Apa saja data opsional pasien baru?,"Email, tempat lahir, agama, pendidikan, pekerjaan, status pernikahan, dan foto pasien.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana cara unggah foto pasien?,"Klik upload foto di formulir pasien baru, maksimal ukuran file 1 MB.",Pendaftaran Rawat Jalan
Form Pasien Baru,Jenis layanan apa saja yang tersedia untuk pasien baru?,"PRB, Prolanis, PRB-Prolanis, dan Non-Kronis.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apa itu PRB-Prolanis?,"Pasien terdaftar dalam kedua program sekaligus, PRB dan Prolanis.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bisa pilih layanan Non-Kronis untuk pasien kronis?,"Tidak, Non-Kronis hanya untuk pasien umum tanpa riwayat penyakit kronis.",Pendaftaran Rawat Jalan
Alamat Pasien,Bagaimana mengisi alamat pasien?,"Masukkan alamat lengkap, negara, provinsi, kota, kecamatan, kelurahan, RT/RW, kode pos; bisa pilih “sama dengan wali”.",Pendaftaran Rawat Jalan
Data Wali,Apa saja informasi yang dibutuhkan untuk wali pasien?,"Nama, nomor kontak, hubungan dengan pasien, dan status aktif/non-aktif.",Pendaftaran Rawat Jalan
Data Wali,Bisa menambahkan beberapa wali?,"Ya, sistem mendukung lebih dari satu wali.",Pendaftaran Rawat Jalan
Data Wali,Bagaimana mengubah informasi wali?,"Pilih data wali, klik edit, ubah informasi, lalu simpan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bagaimana memilih cara masuk pasien?,"Pilih dari dropdown: datang sendiri, kontrol ulang, rujukan, kasus polisi, sewa kamar, dll.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Apa yang harus diisi jika pasien datang karena rujukan?,"Isi asal rujukan, nomor rujukan, dan tanggal rujukan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bagaimana memasukkan diagnosa awal?,"Masukkan diagnosa awal pada kolom yang disediakan, wajib diisi.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Bagaimana cara memilih dokter penanggung jawab?,"Pilih dokter dari daftar sesuai unit dan jam praktik, sistem menampilkan kuota BPJS/non-BPJS.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Apakah ada filter untuk mencari dokter tertentu?,"Ya, filter berdasarkan jam praktik, unit poli, atau nama dokter.",Pendaftaran Rawat Jalan
Pembayaran,Pilihan metode pembayaran apa saja?,"Umum, karyawan, asuransi, atau perusahaan.",Pendaftaran Rawat Jalan
Pembayaran,Bagaimana jika pasien pakai asuransi?,"Isi data polis: perusahaan, nomor, tanggal kadaluarsa, kelas pelayanan, dan penjamin.",Pendaftaran Rawat Jalan
Pembayaran,Apakah biaya pendaftaran otomatis dihitung?,"Ya, sistem menghitung biaya otomatis setelah dokter dan jenis layanan dipilih.",Pendaftaran Rawat Jalan
Hasil Registrasi,Apa isi Tanda Bukti Registrasi?,"Nomor pendaftaran, nomor rekam medis, dokter, unit, metode pembayaran, data pasien, estimasi waktu pelayanan.",Pendaftaran Rawat Jalan
Hasil Registrasi,Bisa cetak tanda bukti registrasi?,"Ya, dapat dicetak dan diberikan kepada pasien.",Pendaftaran Rawat Jalan
List Pasien,Apa itu List Pasien Kontrol Ulang?,Daftar pasien dengan jadwal pemeriksaan lanjutan.,Pendaftaran Rawat Jalan
List Pasien,Apa itu List Pasien Booking?,Daftar pasien yang sudah reservasi melalui sistem.,Pendaftaran Rawat Jalan
List Pasien,Apa itu List Verifikasi Pasien?,Digunakan untuk mengecek data pasien sebelum pelayanan.,Pendaftaran Rawat Jalan
Filtering,Bagaimana cara filter status pasien?,"Pilih filter status: daftar, dilayani, batal, dipulangkan, rujukan.",Pendaftaran Rawat Jalan
Filtering,Bisa mencari pasien berdasarkan nama atau tanggal?,"Ya, sistem mendukung pencarian berdasarkan kata kunci.",Pendaftaran Rawat Jalan
Filtering,Bisa filter pasien berdasarkan jam dokter?,"Ya, filter berdasarkan jadwal praktik dan unit poli.",Pendaftaran Rawat Jalan
Filtering,Bisa filter SEP sudah dicetak atau belum?,"Ya, pilih filter sesuai status SEP.",Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna kuning di antrian?,Pasien belum diverifikasi.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna hijau?,Pasien sudah mendaftar.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna putih?,Pasien sedang dilayani.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna abu-abu?,Pasien batal.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna merah?,Pasien sudah dipulangkan.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna biru?,Pasien rujukan.,Pendaftaran Rawat Jalan
Warna Status Antrian,Apa arti warna ungu?,Check-in JKN.,Pendaftaran Rawat Jalan
Detail Tambahan,Dokumen apa saja yang bisa dicetak dari antrian pasien?,"Nota registrasi, ID Card, Stiker, Label, Status Rawat Jalan, CPPT, General Consent.",Pendaftaran Rawat Jalan
Detail Tambahan,Bagaimana sinkronisasi data dengan SATUSEHAT?,Sistem otomatis sinkronisasi data pasien ke sistem nasional.,Pendaftaran Rawat Jalan
Detail Tambahan,Bagaimana melakukan face recognition?,Ikuti panduan sistem untuk validasi identitas pasien.,Pendaftaran Rawat Jalan
Rekam Medis Elektronik,Apa saja yang tercatat di rekam medis pasien?,"Profil pasien, riwayat kunjungan, alergi, pemeriksaan fisik, SOAP, SOAPIER, ADIME, SBAR, hasil lab, tindakan, resep, penunjang medis, dan dokumen pendukung.",Pendaftaran Rawat Jalan
Paging Data,Berapa data maksimal per halaman di list pasien?,"Maksimal 34 data per halaman, dengan tombol navigasi jika lebih.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana saya bisa menambahkan pasien baru?,"Klik menu pasien baru, isi data wajib, tambahkan data opsional jika ada, pilih jenis layanan, lalu simpan.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apakah NIK pasien harus diisi?,"Ya, NIK/KTP pasien wajib diisi agar sistem bisa membuat nomor rekam medis.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apakah saya bisa melewati alamat pasien?,"Ya, alamat bersifat opsional; bisa diisi nanti atau jika tersedia.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana memilih layanan pasien kronis?,"Pilih PRB, Prolanis, atau PRB-Prolanis sesuai program yang berlaku untuk pasien.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bisa daftar pasien tanpa golongan darah?,"Tidak, golongan darah termasuk data wajib untuk pendaftaran pasien baru.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apakah email pasien wajib diisi?,"Tidak, email pasien bersifat opsional.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bagaimana memasukkan umur pasien?,"Masukkan tanggal lahir, sistem otomatis menghitung umur.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bisa saya upload foto pasien lebih dari 1 MB?,"Tidak, sistem membatasi ukuran maksimal 1 MB per foto.",Pendaftaran Rawat Jalan
Form Pasien Baru,Apa itu layanan Non-Kronis?,"Layanan untuk pasien penyakit umum tanpa riwayat kronis, misal flu atau diare.",Pendaftaran Rawat Jalan
Form Pasien Baru,Bisa ganti layanan dari PRB ke Prolanis setelah input data?,"Ya, bisa diubah sebelum data disimpan.",Pendaftaran Rawat Jalan
Alamat Pasien,Apakah sistem bisa otomatis mengisi alamat pasien dari wali?,"Ya, pilih opsi “sama dengan wali” agar alamat otomatis terisi.",Pendaftaran Rawat Jalan
Data Wali,Bagaimana menandai wali aktif atau tidak aktif?,Gunakan checkbox yang tersedia pada form data wali.,Pendaftaran Rawat Jalan
Data Wali,Bagaimana menambahkan anak sebagai wali pasien?,"Pilih hubungan anak kandung atau anak angkat di dropdown, isi nama dan kontak, lalu simpan.",Pendaftaran Rawat Jalan
Detail Pendaftaran,Apa itu dropdown “cara masuk”?,"Pilihan cara pasien datang: datang sendiri, kontrol ulang, rujukan, kasus polisi, sewa kamar, dll.",Pendaftaran Rawat Jalan
